query_id,time_ms,x0,y0,x1,y1
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1159044,0.273,0.078,0.759,0.998
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1160087,0.14,0.104,0.641,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1161000,0.113,0.124,0.499,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1162042,0.117,0.128,0.499,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1163085,0.113,0.13,0.499,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1164128,0.113,0.154,0.499,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1165041,0.182,0.184,0.609,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1166084,0.19,0.184,0.61,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1167127,0.287,0.112,0.849,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1168169,0.291,0.112,0.839,1.0
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1169082,0.309,0.102,0.854,1.0
30544db1-2b95-45ad-968e-f24be54fd0e5,96603,0.141,0.166,0.469,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,97532,0.213,0.15,0.509,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,98564,0.282,0.144,0.59,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,99493,0.276,0.144,0.59,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,100525,0.284,0.15,0.59,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,101454,0.284,0.16,0.59,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,102486,0.291,0.17,0.59,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,103415,0.292,0.174,0.59,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,104447,0.292,0.176,0.59,0.998
