query_id,time_ms,x0,y0,x1,y1
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1166605,0.291,0.11,0.869,0.992
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1167648,0.291,0.11,0.869,0.992
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1168691,0.291,0.11,0.869,0.992
30544db1-2b95-45ad-968e-f24be54fd0e5,147794,0.152,0.182,0.452,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,148826,0.152,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,149755,0.152,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,150787,0.152,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,151819,0.321,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,152748,0.321,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,153780,0.321,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,154812,0.321,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,155844,0.321,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,156876,0.321,0.182,0.541,0.998
30544db1-2b95-45ad-968e-f24be54fd0e5,157186,0.321,0.182,0.541,0.998
061b1949-c003-4cc7-8302-a854ae9ed464,378044,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,379011,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,380139,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,381106,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,382073,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,383201,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,384168,0.681,0.319,0.916,0.867
061b1949-c003-4cc7-8302-a854ae9ed464,385457,0.681,0.319,0.916,0.867
89be8135-f6ca-408a-b2bc-451813603b7a,10714,0.389,0.1,0.613,0.871
89be8135-f6ca-408a-b2bc-451813603b7a,11771,0.372,0.261,0.625,0.871
89be8135-f6ca-408a-b2bc-451813603b7a,12827,0.398,0.116,0.592,0.765
89be8135-f6ca-408a-b2bc-451813603b7a,13883,0.421,0.108,0.579,0.547
cedeee3f-407c-4abc-82b8-fa0c12bb01b9,444240,0.116,0.144,0.18,0.961
cedeee3f-407c-4abc-82b8-fa0c12bb01b9,445149,0.116,0.144,0.298,0.851
cedeee3f-407c-4abc-82b8-fa0c12bb01b9,446210,0.0,0.292,0.212,0.511
cedeee3f-407c-4abc-82b8-fa0c12bb01b9,447271,0.0,0.0,0.429,0.399
a288f920-0a84-4991-8f4a-7c063bc4a7d1,103560,0.311,0.315,0.781,0.781
a288f920-0a84-4991-8f4a-7c063bc4a7d1,104528,0.311,0.315,0.781,0.781
a288f920-0a84-4991-8f4a-7c063bc4a7d1,105496,0.311,0.315,0.781,0.781
a288f920-0a84-4991-8f4a-7c063bc4a7d1,106464,0.311,0.315,0.781,0.781
a288f920-0a84-4991-8f4a-7c063bc4a7d1,107432,0.311,0.315,0.781,0.781
5f21282a-d878-4ec7-a935-b23cd04c8311,7038,0.841,0.421,0.905,0.601
5f21282a-d878-4ec7-a935-b23cd04c8311,8009,0.739,0.421,0.803,0.601
