attribute,method,precision,recall,iou
overall,Vidi,49.0%,52.5%,35.4%
overall,Gemini-2.0-Flash,40.3%,34.6%,21.2%
overall,Gemini-2.5-Pro,39.3%,28.9%,15.2%
overall,GPT-4o,25.9%,24.0%,13.6%
ultra-short,Vidi,64.5%,79.6%,54.6%
ultra-short,Gemini-2.0-Flash,72.3%,65.4%,49.2%
ultra-short,Gemini-2.5-Pro,58.8%,69.1%,42.6%
ultra-short,GPT-4o,53.6%,42.1%,32.5%
short,Vidi,57.4%,55.8%,40.5%
short,Gemini-2.0-Flash,51.7%,50.6%,31.6%
short,Gemini-2.5-Pro,43.3%,41.7%,22.7%
short,GPT-4o,30.0%,26.5%,15.6%
medium,Vidi,47.4%,46.6%,32.1%
medium,Gemini-2.0-Flash,35.1%,34.4%,18.2%
medium,Gemini-2.5-Pro,31.1%,22.6%,9.9%
medium,GPT-4o,18.2%,21.1%,9.1%
long,Vidi,38.9%,44.9%,27.6%
long,Gemini-2.0-Flash,26.3%,12.9%,7.1%
long,Gemini-2.5-Pro,29.9%,11.9%,4.9%
long,GPT-4o,18.2%,17.7%,9.2%
ultra-long,Vidi,36.7%,46.7%,27.5%
ultra-long,Gemini-2.0-Flash,17.1%,8.3%,2.9%
ultra-long,Gemini-2.5-Pro,25.3%,5.8%,2.4%
ultra-long,GPT-4o,20.4%,19.6%,9.5%
keyword,Vidi,54.4%,57.4%,39.4%
keyword,Gemini-2.0-Flash,50.3%,33.0%,21.9%
keyword,Gemini-2.5-Pro,47.9%,33.4%,17.4%
keyword,GPT-4o,37.4%,26.4%,18.3%
phrase,Vidi,45.3%,48.1%,32.4%
phrase,Gemini-2.0-Flash,41.4%,36.6%,22.3%
phrase,Gemini-2.5-Pro,41.7%,31.1%,16.0%
phrase,GPT-4o,25.1%,23.7%,13.2%
sentence,Vidi,47.5%,52.3%,34.7%
sentence,Gemini-2.0-Flash,31.1%,34.2%,19.7%
sentence,Gemini-2.5-Pro,30.2%,23.3%,12.6%
sentence,GPT-4o,17.5%,22.2%,10.0%
audio,Vidi,34.2%,43.8%,24.2%
audio,Gemini-2.0-Flash,32.5%,35.8%,20.3%
audio,Gemini-2.5-Pro,30.9%,25.5%,10.2%
audio,GPT-4o,7.3%,16.5%,3.7%
vision,Vidi,53.6%,61.6%,43.9%
vision,Gemini-2.0-Flash,48.6%,38.9%,25.4%
vision,Gemini-2.5-Pro,48.2%,37.9%,21.8%
vision,GPT-4o,41.3%,30.5%,22.0%
vision+audio,Vidi,51.2%,49.0%,33.4%
vision+audio,Gemini-2.0-Flash,37.2%,30.9%,18.4%
vision+audio,Gemini-2.5-Pro,33.9%,23.4%,12.1%
vision+audio,GPT-4o,21.2%,22.0%,11.1%
